ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.219181,,,,,,,,,,,,,,,,86cf3f21-0a01-4ed9-85d8-0982bf75e59d,1233,,"[39.0, 75.9]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adam Smith,6409.0,Right Back,50,Leicester City,22,"['0eb594a3-29d8-4e17-a094-88df00989bcd', 'cb192be8-a3b3-4eb1-b2b9-1377a4766f1b', 'd55d08f7-1a58-437b-a1bb-c3c865273956']",14,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:14.213,Pressure,
,,,,,,,,,,,,,,2.263461,,,,,,,,,,,,,,,,836a4d92-6a7b-4179-a498-62cebd83cc15,1239,,"[63.4, 72.9]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,50,Leicester City,22,"['985620e9-7010-438d-8c59-41b3b55efe4e', '992e7d18-53e3-4e42-a489-ee76fd1b377d']",16,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:16.364,Pressure,
,,,,,,,,,,,,,,0.594557,,,,,,,,,,,,,,,,8671532e-e593-4a05-8007-6777ba453837,1243,,"[103.6, 34.4]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joshua King,3346.0,Center Forward,50,Leicester City,22,"['0602868b-8989-4c0a-9fe9-725729313d18', '2d23a03b-ae58-4465-bbe0-7ac1b8dd3729']",23,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:23.764,Pressure,
,,,,,,,,True,,,,,,2.566103,,,,,,,,,,,,,,,,2e1f787e-7b34-40b6-986b-3858d492f3b0,1247,,"[59.3, 70.5]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danny Simpson,3270.0,Right Back,50,Leicester City,22,"['7cde37b6-d24e-4143-b932-97b92929ca98', 'a9daf327-57ba-4374-bd72-5ed1597e2bbd']",29,,,,,,,,,,,,,,,,,Leicester City,22,00:27:29.337,Pressure,
,,,,,,,,,,,,,,3.703965,,,,,,,,,,,,,,,,68ed1db4-5556-41ca-a454-c58f9d91d4f5,1259,,"[45.4, 72.9]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adam Smith,6409.0,Right Back,50,Leicester City,22,"['1b3ecb30-8a1d-49eb-b187-7e9eb9cbb9bf', '2937ab23-3328-445f-bdd1-e62e8c8b38b2', 'd715f4ab-7f03-457e-955d-e4d5bc24b847']",41,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:41.728,Pressure,
,,,,,,,,,,,,,,1.178986,,,,,,,,,,,,,,,,f325c53f-22c1-4e53-9260-1869abcc876d,1262,,"[50.5, 64.8]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,50,Leicester City,22,['d715f4ab-7f03-457e-955d-e4d5bc24b847'],44,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:44.099,Pressure,
,,,,,,,,True,,,,,,1.617249,,,,,,,,,,,,,,,,abd46a52-3f20-4cb9-a1ea-e0aee221754f,1277,,"[48.6, 20.3]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Harry Arter,3304.0,Left Center Midfield,51,AFC Bournemouth,28,['dc475c98-f795-4bd5-b445-70de4bff8d0f'],59,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:59.897,Pressure,
,,,,,,,,,,,,,,0.525041,,,,,,,,,,,,,,,,5cc5a0d7-d054-481c-9aa8-fb314671893e,1295,,"[57.0, 22.0]",3754058,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,N''Golo Kanté,3961.0,Left Defensive Midfield,51,AFC Bournemouth,28,"['da0ecd5c-54b4-44d8-8ac3-5fecbb2779ae', 'fec4b906-eb55-4a7f-83db-442cc227cd99']",21,,,,,,,,,,,,,,,,,Leicester City,22,00:28:21.696,Pressure,
,,,,,,,,,,,,,,0.303235,,,,,,,,,,,,,,,,be2a1232-30df-4d96-89a9-c17cd2a9657e,1313,,"[60.8, 7.7]",3754058,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Junior Stanislas,3463.0,Left Midfield,53,Leicester City,22,"['84c08c7c-4f20-4a7e-8f54-f593594e28d8', '8845e89a-9f3c-47c7-a8af-d921e28a6d1b']",19,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:29:19.283,Pressure,
,,,,,,,,,,,,,,3.191592,,,,,,,,,,,,,,,,e25939b1-10d4-44fd-8ef3-ff5bcec4a97a,1318,,"[41.3, 12.8]",3754058,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Arter,3304.0,Left Center Midfield,54,Leicester City,22,"['0577cd8d-30e8-4674-b224-970a45f55684', '3a023c25-bab6-42bf-9af8-cbdaf20d0b18', '6798a37a-a2e8-40eb-8b1d-008b2ec96237', '7ea43323-256f-433e-a83a-3f94f0b1b17d', '8658643b-0095-4b7f-96b2-75a61c5a638a', 'b4fe67d6-8962-43a1-8d9f-9368b400cd58', 'd671e44c-55cb-4e55-9d90-1bf780bdb2d3', 'd8c06f30-756a-4c2b-bd41-aa20a458ba7b', 'f92d8932-d41e-4abd-836d-036c35865550']",32,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:29:32.561,Pressure,
,,,,,,,,True,,,,,,0.281015,,,,,,,,,,,,,,,,e5b65123-838b-4e09-bfd8-f4cbef0a4f2f,1330,,"[77.3, 71.4]",3754058,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Danny Drinkwater,3662.0,Right Center Midfield,54,Leicester City,22,"['9f29957e-6e38-4413-a776-b20ec822b37e', 'e6482fe9-464c-49f5-a40d-44963594f3ac']",37,,,,,,,,,,,,,,,,,Leicester City,22,00:29:37.758,Pressure,
,,,,,,,,True,,,,,,0.652668,,,,,,,,,,,,,,,,a8f02a8c-6688-44ec-9bb4-adc5c8b820a5,1333,,"[73.6, 64.3]",3754058,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Left Defensive Midfield,54,Leicester City,22,"['3e6bf9ca-966f-4fd5-8138-ed7b765c5248', '9f29957e-6e38-4413-a776-b20ec822b37e']",38,,,,,,,,,,,,,,,,,Leicester City,22,00:29:38.899,Pressure,
,,,,,,,,,,,,,,0.582351,,,,,,,,,,,,,,,,ee4d918c-1932-4ee6-969a-e023f0601290,1344,,"[24.0, 72.7]",3754058,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adam Smith,6409.0,Right Back,54,Leicester City,22,['e68dc4f1-d88f-49be-be9a-27ce0986c1ac'],51,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:29:51.046,Pressure,
,,,,,,,,,,,,,,1.044222,,,,,,,,,,,,,,,,18910f2a-2bbc-4a67-ac43-e0354ca64fca,1353,,"[94.4, 2.7]",3754058,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Albrighton,3307.0,Left Midfield,55,AFC Bournemouth,28,"['3718fe7c-2e53-4657-a1fd-996044a0186e', 'b9c1e274-0561-4793-b45d-30766d12bc4a']",32,,,,,,,,,,,,,,,,,Leicester City,22,00:30:32.812,Pressure,
,,,,,,,,True,,,,,,1.739792,,,,,,,,,,,,,,,,d49bc7c5-634e-410f-94d2-d60e339b3fad,1361,,"[36.8, 75.9]",3754058,30,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,56,Leicester City,22,"['5b809bba-1693-4bf6-9108-d266be9eb321', 'd11edba8-697b-481d-ba6f-04954bdba7ff']",37,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:30:37.385,Pressure,
,,,,,,,,,,,,,,0.525641,,,,,,,,,,,,,,,,e771de6f-62a3-4f97-8af0-7ae24911f979,1380,,"[31.1, 60.3]",3754058,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrew Surman,3344.0,Center Defensive Midfield,57,Leicester City,22,"['b5c7ac72-ac4b-448a-9238-c0cca8804d09', 'cb4c973c-921c-4a9f-8852-92a1dbcb3740']",3,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:31:03.184,Pressure,
,,,,,,,,,,,,,,1.606733,,,,,,,,,,,,,,,,c152895e-f683-4275-8077-ca4917460bb9,1384,,"[30.8, 56.9]",3754058,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,57,Leicester City,22,"['14ac0c7e-c606-4c94-a0a3-0139309e398b', 'c1237d62-f615-4cd9-97b7-9f8df300f3a0']",6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:31:06.925,Pressure,
,,,,,,,,,,,,,,0.278272,,,,,,,,,,,,,,,,fc900571-e981-4178-a6d3-735b53fde36f,1395,,"[52.7, 72.7]",3754058,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Matt Ritchie,3049.0,Right Midfield,57,Leicester City,22,"['799b2b15-3212-4696-b7fe-18c44a4d5233', 'aeff23a7-7032-4729-b5e0-07e24fd6cade', 'b7edad87-1f75-4eb2-9486-209872dd0836']",25,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:31:25.867,Pressure,
,,,,,,,,,,,,,,1.123802,,,,,,,,,,,,,,,,cf053f61-9ff6-44fe-8210-d215965d6ee6,1404,,"[61.9, 47.2]",3754058,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Arter,3304.0,Left Center Midfield,57,Leicester City,22,"['20ec536b-a9a0-42eb-8eb6-08dee81ba5ab', '804445ed-3919-452b-83c8-4cdb91decd41']",31,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:31:31.280,Pressure,
